Query,TextSample,position,positive,negative,neutral,joy,anger,surprise,disgust,fear,sadness,trust,anticipation
Cosa Ã¨ Ä¾isola di plastica,"Cos'è la plastica e come si produce. La plastica, un elemento assente in natura. Seppur molto diffusa, la plastica non è un materiale che si ricava solo ed esclusivamente dall’utilizzo di sostanze presenti in natura, come accade invece per altre tipologie di materiali quali la carta che deriva dalla lavorazione del legno.",1,16.43,13.85,69.71,11.0,12.51,12.16,11.13,12.8,11.0,16.87,12.53
Cosa Ã¨ Ä¾isola di plastica,"Pacific Trash Vortex - Wikipedia. Il Pacific Trash Vortex, noto anche come grande chiazza di immondizia del Pacifico (Great Pacific Garbage Patch) o semplicemente isola di plastica, è un enorme accumulo di spazzatura galleggiante (composto soprattutto da plastica) situato nell'Oceano Pacifico, approssimativamente fra il 135º e il 155º meridiano Ovest e fra il 35º e il 42º parallelo Nord.",2,15.86,15.47,68.67,12.36,12.6,11.87,11.78,13.31,11.98,13.26,12.84
Cosa Ã¨ Ä¾isola di plastica,"isola di plastica che cos'è e perchè non può essere salvata. La Scimmia ti porta alla scoperta dell’isola di plastica. In occasione della giornata mondiale senza sacchetti di plastica, noi della Scimmia vogliamo fare luce su un problema sempre più diffuso: l’inquinamento di plastica nei mari e negli oceani e le sue conseguenze.. Oggi noi scimmie desideriamo farti fare pace con il lato ambientalista che c’è dentro di te, lo faremo raccontandoti ...",3,15.07,16.05,68.87,12.62,12.91,12.4,10.21,13.41,12.08,14.15,12.22
Cosa Ã¨ Ä¾isola di plastica,Cosa sono e come si creano le isole di plastica - Greenious. Le isole di plastica in dati. Per avere un’idea più concreta di cosa siano realmente le isole di plastica basta guardare i dati: oltre 275.000 tonnellate di plastica vengono prodotte in tutto il mondo; ogni anno oltre 13 milioni di tonnellate di plastica finiscono in mare. Un flacone di plastica impiega circa 900 anni per essere smaltito ...,4,14.21,14.79,71.01,12.73,12.08,12.67,10.16,12.76,12.97,13.39,13.23
Cosa Ã¨ Ä¾isola di plastica,"Saldatura plastica fai da te - YouTube. Creazione di stick di plastica da usare con la pistola per la colla a caldo, e fili per la microsaldatura con penna a gas, fai da te, tanti altri tutorial, spero utili, sul canale!",5,13.74,12.93,73.33,12.12,12.04,14.0,10.13,12.96,11.89,13.96,12.91
Cosa Ã¨ Ä¾isola di plastica,"Bioplastica: che cosa sono e perché le useremo. Sembra che le vie per ottenere la nuova generazione di sostanze siano innumerevoli e forse si sta presentando l’opportunità di muoversi verso la soluzione dei grandi problemi di carattere ambientale. Ma di cosa si tratta realmente? È veramente un’opzione che, in un prossimo futuro, permetterà di sostituire la plastica tradizionale ...",6,15.79,14.26,69.95,10.91,10.77,11.61,10.1,12.48,12.34,16.75,15.04
Cosa Ã¨ Ä¾isola di plastica,"Inquinamento causato dalla plastica - Wikipedia. Tale tipo di inquinamento interessa l'aria, il suolo, i fiumi, i laghi e gli oceani. L'importanza e la rilevanza di questo tipo di inquinamento derivano dalla economicità della plastica e dalla sua alta durabilità nel tempo e quindi alla produzione di grandissimi quantitativi della stessa per i più svariati usi.",7,13.24,14.4,72.36,11.4,12.54,12.12,9.97,13.82,11.51,15.5,13.14
Cosa Ã¨ Ä¾isola di plastica,"Da cosa è composta l’isola di rifiuti del Pacifico .... Molti Stati si stanno muovendo per cercare di invertire la rotta: ultima in ordine di tempo è l’Unione Europea che ha proposto una normativa stringente sull’uso della plastica e sullo smaltimento dei rifiuti. Non sappiamo quando vedremo i risultati di queste nuove norme, ma una cosa è certa: la Great Pacific Garbage Patch ci dice che il ...",8,16.4,15.63,67.97,11.18,11.82,11.97,10.54,12.83,11.63,16.0,14.03
Cosa Ã¨ Ä¾isola di plastica,Che cos’è la Plastica? – Usa e Getta. - meridionews.it. Anche perché sono sicuro che le persone non laveranno questi oggetti usa e getta cosa necessaria (perché usarli allora?) ed il rischio è di abbassare di molto la qualità della plastica ...,9,16.4,18.06,65.54,10.89,11.69,11.48,10.45,13.78,12.24,16.92,12.56
Cosa Ã¨ Ä¾isola di plastica,"L'isola di plastica - SapereScienza. L’Isola di Plastica, che non e’ presente solo nell’Oceano Pacifico ma anche in Atlantico e probabilmente in Mediterraneo, non è solo un disastro ambientale incalcolabile ma è la metafora più precisa e terribile del fallimento del nostro modello di sviluppo.",10,15.74,19.6,64.66,11.77,11.4,12.36,10.73,13.81,12.32,13.92,13.68
Di cosa si occupa il WWF ?,"Di cosa si occupa il WWF? - Sapere.it Di cosa si occupa il WWF? - Sapere.it Di cosa si occupa il WWF? - Sapere.it Di cosa si occupa il WWF? - Sapere.it. A tal proposito, ogni anno il WWF promuove oltre 2000 progetti in tutto mondo. L’organizzazione si occupa della tutela di mari, oceani, coste, foreste e animali soprattutto le specie in via di estinzione. In Italia il WWF, nato nel 1966, è presente su tutto il territorio nazionale con 200 sedi e con più di 100 Oasi. A tal proposito, ogni anno il WWF promuove oltre 2000 progetti in tutto mondo. L’organizzazione si occupa della tutela di mari, oceani, coste, foreste e animali soprattutto le specie in via di estinzione. In Italia il WWF, nato nel 1966, è presente su tutto il territorio nazionale con 200 sedi e con più di 100 Oasi. A tal proposito, ogni anno il WWF promuove oltre 2000 progetti in tutto mondo. L’organizzazione si occupa della tutela di mari, oceani, coste, foreste e animali soprattutto le specie in via di estinzione. In Italia il WWF, nato nel 1966, è presente su tutto il territorio nazionale con 200 sedi e con più di 100 Oasi. A tal proposito, ogni anno il WWF promuove oltre 2000 progetti in tutto mondo. L’organizzazione si occupa della tutela di mari, oceani, coste, foreste e animali soprattutto le specie in via di estinzione. In Italia il WWF, nato nel 1966, è presente su tutto il territorio nazionale con 200 sedi e con più di 100 Oasi.",1,14.76,11.0,74.24,12.53,12.13,11.78,10.66,13.07,12.2,15.09,12.54
Di cosa si occupa il WWF ?,"WWF - Wikipedia. Il World Wide Fund for Nature (in italiano: Fondo Mondiale per la Natura), spesso abbreviato in World Wildlife Fund (Fondo Mondiale per la Fauna) o con l'acronimo WWF, è un'organizzazione internazionale non governativa di protezione ambientale con sede nella città di Gland",2,14.81,14.26,70.92,11.55,11.79,12.43,10.24,13.33,11.34,15.74,13.58
Di cosa si occupa il WWF ?,"WWF | Sito Ufficiale. Stai cercando notizie o il sito ufficiale del WWF? Questo è il sito giusto! Infatti, qui potrai trovare tutte le informazioni che ti occorrono e puoi scoprire di cosa si occupa la famosa associazione benefica, come aderire o fare donazioni!",3,18.22,16.43,65.35,10.79,10.34,12.72,9.92,13.11,11.61,17.23,14.27
Di cosa si occupa il WWF ?,"mi potete dire in breve che cos'è e cosa fa il wwf .... Rispetto a ciascuno di questi temi, il WWF si prefigge degli obiettivi misurabili e gestisce con oltre 2000 progetti di conservazione all'anno in tutto il mondo. I progetti hanno ormai la peculiarità di coinvolgere le popolazioni locali, in quanto - sostiene il WWF - senza il scemi fin troppo la tutela dell'ambiente risulterebbe impossibile.",4,13.33,13.72,72.95,11.43,11.08,11.86,11.33,12.83,12.65,15.48,13.33
Di cosa si occupa il WWF ?,cos'è il WWF? Ci sono altre organizzazioni ke si occupano .... il wwf-di cui io sn socia- è una fondazione ke si occupa di salvaguardare gli animali e il loro habitat e accetta solo fondi privati quindi nn è sottomessa ad 1 governo ed è internazionale. altri enti sn: LAV-lega antivivisezione ke si occupa su territorio italiano di difendere gli animali,5,16.77,17.86,65.37,11.77,12.0,10.94,12.26,13.22,12.49,15.08,12.23
Di cosa si occupa il WWF ?,"Di cosa si occupa il WWF? - youngworldforum.forumfree.it. Il WWF (World Widelife Fund) è la più grande organizzazione per la conservazione della natura, fondata nel 1961 in Svizzera. Il WWF è presente in tutto il mondo con 24 organizzazioni nazionali.",6,15.18,9.62,75.2,12.05,11.81,10.66,11.56,13.31,11.55,17.12,11.95
