Analysis,Prompt Type,Task Sentiment,Text Sample,rank,positive,negative,neutral,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
Lexical,General,Overall,Bing,Overall,15.65,14.78,69.57,6.99,11.79,2.78,19.2,7.78,6.06,7.4,38.01
Lexical,General,Overall,Bing,1,15.41,14.64,69.95,8.44,14.45,3.08,18.69,7.32,5.62,6.66,35.74
Lexical,General,Overall,Bing,2,15.58,14.7,69.72,6.46,11.74,4.3,18.87,7.93,6.19,6.62,37.88
Lexical,General,Overall,Bing,3,15.75,14.91,69.34,5.48,11.01,2.24,20.83,8.71,5.9,8.66,37.17
Lexical,General,Overall,Bing,4,15.73,14.8,69.47,6.88,11.92,2.3,19.5,6.13,5.75,7.68,39.85
Lexical,General,Overall,Bing,5,15.77,14.86,69.38,7.67,9.83,1.97,18.09,8.8,6.83,7.39,39.41
Lexical,EM,Overall,Bing,Overall,15.6,14.55,69.85,3.16,14.23,1.46,11.66,5.87,6.34,17.07,40.21
Lexical,EM,Overall,Bing,1,15.37,14.36,70.27,4.71,15.18,1.69,10.9,5.59,6.12,17.4,38.41
Lexical,EM,Overall,Bing,2,15.39,14.82,69.79,3.01,15.28,1.29,10.87,6.74,6.9,14.58,41.33
Lexical,EM,Overall,Bing,3,15.91,14.79,69.31,2.56,13.31,0.85,11.6,7.23,6.58,18.32,39.56
Lexical,EM,Overall,Bing,4,15.53,14.31,70.16,2.85,13.26,1.24,13.66,5.98,7.01,16.01,40.0
Lexical,EM,Overall,Bing,5,15.78,14.49,69.73,2.69,14.12,2.22,11.26,3.79,5.09,19.07,41.75
Lexical,EM,Bad,Bing,Overall,15.08,15.48,69.44,2.57,13.59,0.74,16.62,3.15,4.54,24.29,34.5
Lexical,EM,Good,Bing,Overall,16.1,13.5,70.41,3.83,14.32,2.16,6.73,8.07,8.35,9.64,46.9
Semantic,General,Overall,Bing,Overall,32.84,67.16,,1.82,,,41.8,26.22,30.15,,
Semantic,General,Overall,Bing,1,32.49,67.51,,1.78,,,40.43,26.51,31.28,,
Semantic,General,Overall,Bing,2,29.6,70.4,,3.76,,,43.75,22.47,30.02,,
Semantic,General,Overall,Bing,3,31.75,68.25,,1.31,,,42.44,23.99,32.26,,
Semantic,General,Overall,Bing,4,34.5,65.5,,0.75,,,39.78,28.91,30.56,,
Semantic,General,Overall,Bing,5,35.86,64.14,,1.52,,,42.6,29.23,26.65,,
Semantic,EM,Overall,Bing,Overall,39.4,60.6,,9.84,,,23.21,35.73,31.22,,
Semantic,EM,Overall,Bing,1,39.34,60.66,,13.13,,,16.37,28.84,41.66,,
Semantic,EM,Overall,Bing,2,33.33,66.67,,10.97,,,22.98,33.14,32.91,,
Semantic,EM,Overall,Bing,3,42.93,57.07,,6.22,,,26.04,41.72,26.02,,
Semantic,EM,Overall,Bing,4,43.51,56.49,,7.03,,,26.41,39.79,26.76,,
Semantic,EM,Overall,Bing,5,37.89,62.11,,11.85,,,24.25,35.17,28.73,,
Semantic,EM,Bad,Bing,Overall,2.6,97.4,,11.32,,,40.57,4.44,43.67,,
Semantic,EM,Good,Bing,Overall,75.46,24.54,,8.62,,,6.03,66.01,19.33,,
