QID,IAS,positive,negative,neutral,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
qGEN1,Gemma,16.55172153846154,29.553210692307697,53.89506684615385,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666667
qGEN2,Gemma,15.55853788235294,12.642750082352942,71.79871176470589,40.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
qGEN3,Gemma,14.099521300000001,13.7074469,72.19303239999999,66.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336
qGEN4,Gemma,16.013679875,27.507179999999998,56.479141125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
qGEN5,Gemma,17.5268378,26.912105599999997,55.561055533333324,25.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
qGEN6,Gemma,12.719372625,23.233781125000004,64.04684575,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qGEN7,Gemma,11.179174882352942,13.674005676470587,75.1468188235294,25.0,0.0,0.0,0.0,50.0,0.0,0.0,25.0
qGEN8,Gemma,19.64708028571429,23.554995357142854,56.79792499999999,16.666666666666668,0.0,0.0,0.0,16.666666666666668,0.0,0.0,66.66666666666667
qGEN9,Gemma,16.531773285714284,13.404399528571428,70.06382778571428,20.0,20.0,0.0,0.0,0.0,0.0,40.0,20.0
qGEN10,Gemma,13.388089133333333,16.349316733333332,70.26259386666668,0.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,66.66666666666667
qGEN11,Gemma,9.2624589,8.642261300000001,82.0952797,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
qGEN12,Gemma,19.418897818181815,14.658219909090912,65.922883,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
qGEN13,Gemma,17.297659705882353,15.925550294117647,66.77679035294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
qGEN14,Gemma,19.704940454545454,24.06867554545455,56.226383454545456,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
qGEN15,Gemma,16.55172153846154,29.553210692307697,53.89506684615385,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666667
qGEN16,Gemma,18.58831281818182,34.17277036363637,47.23891627272728,25.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
qGEN17,Gemma,19.217667642857144,31.420900857142858,49.36143114285715,20.0,20.0,0.0,0.0,0.0,0.0,0.0,60.0
qGEN18,Gemma,18.58831281818182,34.17277036363637,47.23891627272728,25.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
qGEN19,Gemma,12.484992222222223,13.368990222222221,74.14601644444444,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
qGEN20,Gemma,16.546843818181816,26.50967254545455,56.94348327272728,25.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
